Temp (K), Volt (V)
2.6000,1.6684
2.8000,1.6630
3.0000,1.6575
3.2000,1.6519
3.4000,1.6459
3.6000,1.6398
3.8000,1.6336
4.0000,1.6272
4.2000,1.6206
4.4000,1.6138
4.6000,1.6069
4.8000,1.5998
5.0000,1.5925
5.5000,1.5742
6.0000,1.5556
6.5000,1.5366
7.0000,1.5178
7.5000,1.4990
8.0000,1.4809
8.5000,1.4636
9.0000,1.4474
9.5000,1.4319
10.0000,1.4173
10.5000,1.4034
11.0000,1.3903
11.5000,1.3777
12.0000,1.3656
12.5000,1.3540
13.0000,1.3429
13.5000,1.3321
14.0000,1.3217
14.5000,1.3115
15.0000,1.3017
15.5000,1.2922
16.0000,1.2829
16.5000,1.2737
17.0000,1.2640
17.5000,1.2551
18.0000,1.2463
18.5000,1.2377
19.0000,1.2290
19.5000,1.2204
20.0000,1.2118
21.0000,1.1940
22.0000,1.1748
23.0000,1.1535
24.0000,1.1346
