Temp (K), Volt (V)
293.86,0.5877
291.27,0.5934
288.28,0.6041
284.86,0.6132
282.22,0.6202
279.35,0.6269
275.28,0.6356
272.52,0.6434
268.68,0.6534
266.82,0.6478
265.26,0.6513
262.79,0.6567
260.05,0.6628
257.02,0.6695
253.69,0.6768
251.29,0.6821
248.73,0.6877
246.01,0.6937
243.11,0.7
240.03,0.7068
236.74,0.7139
233.25,0.7215
229.53,0.7296
225.54,0.7383
221.31,0.7474
219.1,0.7522
216.83,0.7571
214.49,0.7621
212.05,0.7673
209.54,0.7727
206.95,0.7782
204.29,0.7839
201.58,0.7897
198.8,0.7956
195.96,0.8015
193.12,0.8075
190.3,0.8135
186.41,0.8217
184.57,0.8255
184.16,0.8264
180.39,0.8342
177.64,0.84
174.81,0.8458
171.94,0.8517
169.02,0.8578
166.04,0.8638
163.02,0.87
159.95,0.8762
158.41,0.8794
156.84,0.8826
155.28,0.8857
153.67,0.8889
152.05,0.8922
150.43,0.8954
148.79,0.8987
147.16,0.9019
145.5,0.9052
143.84,0.9085
142.17,0.9118
140.49,0.9151
138.8,0.9185
137.07,0.9218
135.33,0.9252
133.58,0.9285
131.84,0.9319
130.08,0.9353
128.32,0.9387
126.55,0.9421
124.78,0.9455
122.95,0.9489
121.12,0.9523
119.28,0.9557
117.43,0.9592
115.57,0.9626
113.71,0.9661
111.83,0.9696
109.96,0.973
108.02,0.9765
106.13,0.98
104.32,0.9832
102.56,0.9864
100.86,0.9895
99.163,0.9925
97.509,0.9954
95.896,0.9983
94.305,1.0011
92.734,1.0038
91.191,1.0065
89.678,1.0092
88.192,1.0117
86.73,1.0143
85.308,1.0167
83.924,1.0191
82.588,1.0214
81.287,1.0236
80.031,1.0258
78.83,1.0278
77.693,1.0298
76.618,1.0316
75.613,1.0333
74.674,1.0349
73.025,1.0377
72.347,1.0389
71.26,1.0407
70.874,1.0414
70.586,1.0419
70.348,1.0423
70.116,1.0427
69.127,1.0444
68.114,1.0461
67.056,1.0479
66.25,1.0492
65.178,1.0511
64.07,1.053
63.211,1.0545
62.32,1.056
61.126,1.058
60.217,1.0595
59.27,1.0612
58.132,1.0631
57.56,1.064
56.762,1.0653
55.263,1.0678
54.018,1.0699
53.03,1.0715
52.251,1.0728
51.217,1.0744
50.01,1.0763
49.207,1.0776
48.188,1.0792
47.19,1.0807
46.204,1.0822
45.206,1.0837
44.172,1.0853
43.015,1.087
42.038,1.0885
41.116,1.0898
40.209,1.0912
39.244,1.0926
38.243,1.0941
37.226,1.0956
36.147,1.0972
35.036,1.0988
34.321,1.1
33.197,1.1017
32.023,1.1035
31.282,1.1048
30.132,1.1067
29.021,1.1087
28.301,1.1101
27.273,1.1123
26.282,1.1149
25.275,1.1185
24.211,1.1241
23.433,1.1305
22.112,1.1509
21.207,1.1733
20.276,1.1941
19.316,1.2127
18.315,1.231
17.266,1.25
16.173,1.2705
15.045,1.2931
14.479,1.3054
13.331,1.332
12.193,1.3614
11.07,1.3942
10.161,1.4251
9.0208,1.4712
8.1519,1.5134
7.162,1.5671
6.0784,1.6275
5.7081,1.6474
5.2747,1.6701
4.7161,1.6978
4.2001,1.722
4.0022,1.7304
3.799,1.739
3.613,1.7464
3.515,1.7502
3.4074,1.7542
3.2037,1.7618
3.0062,1.7684
2.902,1.7718
2.7978,1.7751
2.7165,1.7776
2.5955,1.7811
2.4957,1.784
2.4044,1.7866
2.2976,1.789
2.1936,1.7912
2.1,1.7932
2.0018,1.7952
1.9964,1.7953
1.752,1.7996
1.30,1.8093
0.05,1.82
