Temp (K), Res (ohm)
325,3.54E+01
320,3.57E+01
315,3.61E+01
310,3.65E+01
305,3.69E+01
300,3.73E+01
295,3.77E+01
290,3.81E+01
285,3.86E+01
280,3.91E+01
275,3.95E+01
273.15,3.97E+01
270,4.00E+01
265,4.06E+01
260,4.11E+01
255,4.17E+01
250,4.22E+01
245,4.28E+01
240,4.35E+01
235,4.41E+01
230,4.48E+01
225,4.55E+01
220,4.62E+01
215,4.69E+01
210,4.77E+01
205,4.86E+01
200,4.94E+01
195,5.03E+01
190,5.12E+01
185,5.22E+01
180,5.32E+01
175,5.43E+01
170,5.54E+01
165,5.66E+01
160,5.78E+01
155,5.91E+01
150,6.04E+01
145,6.19E+01
140,6.34E+01
135,6.50E+01
130,6.67E+01
125,6.85E+01
120,7.04E+01
115,7.24E+01
110,7.46E+01
105,7.69E+01
100,7.94E+01
95,8.21E+01
90,8.50E+01
85,8.82E+01
80,9.16E+01
77.35,9.36E+01
75,9.54E+01
70,9.96E+01
65,1.04E+02
60,1.09E+02
58,1.12E+02
56,1.14E+02
54,1.17E+02
52,1.19E+02
50,1.22E+02
48,1.25E+02
46,1.28E+02
44,1.32E+02
42,1.35E+02
40,1.39E+02
39,1.41E+02
38,1.43E+02
37,1.45E+02
36,1.48E+02
35,1.50E+02
34,1.52E+02
33,1.55E+02
32,1.58E+02
31,1.60E+02
30,1.63E+02
29,1.66E+02
28,1.70E+02
27,1.73E+02
26,1.77E+02
25,1.80E+02
24,1.84E+02
23,1.88E+02
22,1.93E+02
21,1.98E+02
20,2.03E+02
19.5,2.05E+02
19,2.08E+02
18.5,2.11E+02
18,2.14E+02
17.5,2.17E+02
17,2.20E+02
16.5,2.24E+02
16,2.27E+02
15.5,2.31E+02
15,2.35E+02
14.5,2.39E+02
14,2.43E+02
13.5,2.48E+02
13,2.53E+02
12.5,2.58E+02
12,2.63E+02
11.5,2.69E+02
11,2.75E+02
10.5,2.82E+02
10,2.89E+02
9.5,2.97E+02
9,3.05E+02
8.5,3.15E+02
8,3.25E+02
7.5,3.36E+02
7,3.49E+02
6.5,3.63E+02
6,3.80E+02
5.8,3.87E+02
5.6,3.95E+02
5.4,4.03E+02
5.2,4.12E+02
5,4.21E+02
4.8,4.31E+02
4.6,4.42E+02
4.4,4.54E+02
4.2,4.67E+02
4,4.81E+02
3.9,4.89E+02
3.8,4.97E+02
3.7,5.05E+02
3.6,5.14E+02
3.5,5.23E+02
3.4,5.33E+02
3.3,5.43E+02
3.2,5.54E+02
3.1,5.66E+02
3,5.78E+02
2.9,5.91E+02
2.8,6.06E+02
2.7,6.21E+02
2.6,6.38E+02
2.5,6.55E+02
2.4,6.75E+02
2.3,6.96E+02
2.2,7.19E+02
2.1,7.45E+02
2,7.73E+02
1.9,8.05E+02
1.8,8.40E+02
1.7,8.80E+02
1.6,9.26E+02
1.5,9.79E+02
1.4,1.04E+03
1.3,1.11E+03
1.2,1.20E+03
1.15,1.25E+03
1.1,1.31E+03
1.05,1.37E+03
1,1.44E+03
0.95,1.52E+03
0.9,1.62E+03
0.85,1.73E+03
0.8,1.85E+03
0.75,2.00E+03
0.7,2.18E+03
0.65,2.40E+03
0.6,2.68E+03
0.55,3.03E+03
0.5,3.50E+03
0.48,3.73E+03
0.46,4.00E+03
0.44,4.31E+03
0.42,4.67E+03
0.4,5.09E+03
0.38,5.60E+03
0.36,6.21E+03
0.34,6.95E+03
0.32,7.88E+03
0.3,9.03E+03
