Temp (K),Res (ohm)
4.50883223408024E-02,6.46340000000000E+04
4.83623434524948E-02,5.72330000000000E+04
5.20634179447807E-02,5.04851000000000E+04
5.70441598951913E-02,4.37715000000000E+04
6.49544043368132E-02,3.71888000000000E+04
7.58757759542749E-02,3.01868000000000E+04
8.50817790785725E-02,2.61713000000000E+04
9.69011333186778E-02,2.22106000000000E+04
1.12874818394274E-01,1.86619000000000E+04
1.29609535836535E-01,1.61775000000000E+04
1.48069859370102E-01,1.41805000000000E+04
1.64416903228524E-01,1.28409000000000E+04
1.84193957232508E-01,1.16039000000000E+04
2.05436436213365E-01,1.05465000000000E+04
2.30675180771293E-01,9.60110000000000E+03
2.60293951175806E-01,8.76130000000000E+03
2.89389963470082E-01,8.09800000000000E+03
3.08995855276506E-01,7.74100000000000E+03
3.28923356826614E-01,7.43250000000000E+03
3.67459761668519E-01,6.91820000000000E+03
4.18287778830370E-01,6.38500000000000E+03
4.76931582972327E-01,5.91980000000000E+03
5.37555697408032E-01,5.55160000000000E+03
6.13772737334676E-01,5.18576000000000E+03
6.87811034453579E-01,4.90915000000000E+03
7.68542401245935E-01,4.67311000000000E+03
8.56896266511247E-01,4.45980000000000E+03
9.51537576686919E-01,4.27678000000000E+03
1.05103232447211E+00,4.11605000000000E+03
1.15090925370724E+00,3.98107473280300E+03
1.20212327913787E+00,3.92092000000000E+03
1.29998262484750E+00,3.81735678140270E+03
1.40258702519312E+00,3.72373561561325E+03
1.60035428593657E+00,3.57457352048606E+03
1.80255350320123E+00,3.45367345520140E+03
2.00353861679627E+00,3.35634719459486E+03
2.19867913044882E+00,3.27740084855418E+03
2.39798801852062E+00,3.20844384624722E+03
2.59601587224904E+00,3.14926680586088E+03
2.80181337857133E+00,3.09596083102005E+03
3.00043118230986E+00,3.05070376068944E+03
3.19791151382059E+00,3.01061912443585E+03
3.40109214159605E+00,2.97382290702538E+03
3.60039437489122E+00,2.94084587113114E+03
3.80016724452732E+00,2.91099469064109E+03
4.00150371742590E+00,2.88372705660848E+03
4.21258209730589E+00,2.85760737597197E+03
4.70467230138729E+00,2.80405456354781E+03
5.11652603029517E+00,2.76616271886579E+03
5.63167631583273E+00,2.72531496530068E+03
6.35528172996644E+00,2.67721757353344E+03
7.17922713332048E+00,2.63211542652315E+03
8.22373878227704E+00,2.58539263464445E+03
9.27096902740622E+00,2.54654126270601E+03
1.03077390200404E+01,2.51426355892352E+03
1.13331373448075E+01,2.48658151150652E+03
1.23441519565177E+01,2.46234542026050E+03
1.33411598721917E+01,2.44123180926658E+03
1.43242421756214E+01,2.42229156684536E+03
1.52956860520187E+01,2.40530303998289E+03
1.62663016638179E+01,2.38995576885651E+03
1.72275464228230E+01,2.37576472526908E+03
1.81848793975093E+01,2.36288339412013E+03
1.91456495312332E+01,2.35073387362536E+03
2.01074319753036E+01,2.33975751497826E+03
2.11714365961110E+01,2.32793693208497E+03
2.27385600884498E+01,2.31230064748359E+03
2.43858556357543E+01,2.29754690742768E+03
2.60520282166591E+01,2.28387301891242E+03
2.76985135843416E+01,2.27150508945969E+03
2.93298384156447E+01,2.26011050036193E+03
3.11511923120653E+01,2.24869917692226E+03
3.32698664964163E+01,2.23645853493984E+03
3.62893708366855E+01,2.22056065355985E+03
3.92969046042217E+01,2.20675849431947E+03
4.23007820180221E+01,2.19433336104535E+03
4.53044903960353E+01,2.18320774921991E+03
