Temp (K), Res (ohm)
325,3.38E+01
320,3.42E+01
315,3.45E+01
310,3.49E+01
305,3.52E+01
300,3.56E+01
295,3.60E+01
290,3.64E+01
285,3.68E+01
280,3.72E+01
275,3.77E+01
273.15,3.78E+01
270,3.81E+01
265,3.86E+01
260,3.91E+01
255,3.96E+01
250,4.01E+01
245,4.07E+01
240,4.12E+01
235,4.18E+01
230,4.24E+01
225,4.31E+01
220,4.37E+01
215,4.44E+01
210,4.51E+01
205,4.59E+01
200,4.66E+01
195,4.74E+01
190,4.83E+01
185,4.92E+01
180,5.01E+01
175,5.10E+01
170,5.20E+01
165,5.31E+01
160,5.42E+01
155,5.54E+01
150,5.66E+01
145,5.79E+01
140,5.92E+01
135,6.07E+01
130,6.22E+01
125,6.38E+01
120,6.55E+01
115,6.73E+01
110,6.92E+01
105,7.13E+01
100,7.35E+01
95,7.59E+01
90,7.85E+01
85,8.13E+01
80,8.43E+01
77.35,8.60E+01
75,8.76E+01
70,9.13E+01
65,9.54E+01
60,9.99E+01
58,1.02E+02
56,1.04E+02
54,1.06E+02
52,1.08E+02
50,1.11E+02
48,1.13E+02
46,1.16E+02
44,1.19E+02
42,1.22E+02
40,1.26E+02
39,1.27E+02
38,1.29E+02
37,1.31E+02
36,1.33E+02
35,1.35E+02
34,1.37E+02
33,1.39E+02
32,1.42E+02
31,1.44E+02
30,1.46E+02
29,1.49E+02
28,1.52E+02
27,1.55E+02
26,1.58E+02
25,1.61E+02
24,1.64E+02
23,1.68E+02
22,1.71E+02
21,1.75E+02
20,1.80E+02
19.5,1.82E+02
19,1.84E+02
18.5,1.87E+02
18,1.89E+02
17.5,1.92E+02
17,1.95E+02
16.5,1.97E+02
16,2.00E+02
15.5,2.03E+02
15,2.07E+02
14.5,2.10E+02
14,2.14E+02
13.5,2.17E+02
13,2.21E+02
12.5,2.26E+02
12,2.30E+02
11.5,2.35E+02
11,2.40E+02
10.5,2.45E+02
10,2.51E+02
9.5,2.58E+02
9,2.65E+02
8.5,2.72E+02
8,2.80E+02
7.5,2.90E+02
7,3.00E+02
6.5,3.12E+02
6,3.25E+02
5.8,3.31E+02
5.6,3.37E+02
5.4,3.43E+02
5.2,3.50E+02
5,3.58E+02
4.8,3.66E+02
4.6,3.74E+02
4.4,3.84E+02
4.2,3.94E+02
4,4.05E+02
3.9,4.11E+02
3.8,4.17E+02
3.7,4.23E+02
3.6,4.30E+02
3.5,4.37E+02
3.4,4.45E+02
3.3,4.53E+02
3.2,4.61E+02
3.1,4.70E+02
3,4.80E+02
2.9,4.90E+02
2.8,5.01E+02
2.7,5.13E+02
2.6,5.26E+02
2.5,5.39E+02
2.4,5.54E+02
2.3,5.70E+02
2.2,5.87E+02
2.1,6.07E+02
2,6.28E+02
1.9,6.51E+02
1.8,6.77E+02
1.7,7.07E+02
1.6,7.41E+02
1.5,7.79E+02
1.4,8.24E+02
1.3,8.76E+02
1.2,9.39E+02
1.15,9.75E+02
1.1,1.02E+03
1.05,1.06E+03
1,1.11E+03
0.95,1.17E+03
0.9,1.23E+03
0.85,1.30E+03
0.8,1.39E+03
0.75,1.49E+03
0.7,1.61E+03
0.65,1.75E+03
0.6,1.93E+03
0.55,2.16E+03
0.5,2.45E+03
0.48,2.59E+03
0.46,2.75E+03
0.44,2.94E+03
0.42,3.15E+03
0.4,3.40E+03
0.38,3.70E+03
0.36,4.05E+03
0.34,4.47E+03
0.32,4.97E+03
0.3,5.59E+03
0.225,9.99E+03
